2026-06-05 11:04:54.415 | 127.0.0.1:62506 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-02.jpg | Status:200 | Cache:HIT | Size:269307B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.418 | 127.0.0.1:62507 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-03.jpg | Status:200 | Cache:HIT | Size:128527B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.420 | 127.0.0.1:62508 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-04.jpg | Status:200 | Cache:HIT | Size:108872B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.423 | 127.0.0.1:62509 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-06.jpg | Status:200 | Cache:HIT | Size:180371B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.425 | 127.0.0.1:62510 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-05.jpg | Status:200 | Cache:HIT | Size:143715B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.444 | 127.0.0.1:62511 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-01.jpg | Status:200 | Cache:HIT | Size:131104B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:54.508 | 127.0.0.1:62512 | GET http://192.168.1.5:5000/favicon.ico | Status:404 | Cache:MISS | Size:1365B | Time:34ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:55.934 | 127.0.0.1:62595 | GET http://192.168.1.5:5000/auth/logout | Status:302 | Cache:MISS | Size:189B | Time:24ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:55.939 | 127.0.0.1:62597 | GET http://detectportal.firefox.com/canonical.html | Status:200 | Cache:HIT | Size:90B | Time:1ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:55.944 | 127.0.0.1:62598 | GET http://detectportal.firefox.com/success.txt?ipv4 | Status:200 | Cache:HIT | Size:8B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
